ID|LATITUDE|LONGITUDE|AVG_LIKES
2043327089216134|30.26775|-97.7407|Voodoo Doughnut|20
212964995|30.2677|-97.7475|Austin, Texas|222
212964995|30.2677|-97.7475|Austin, Texas|116
134951159|30.26726|-97.74092|Lit Lounge Austin|67
2952|30.26743|-97.74136|Buffalo Billiards|19
10055862|30.266245728204|-97.74302230147|Downtown Austin|256
2853|30.26807|-97.74168|The Driskill|84
830747|30.267657|-97.740918|Friends Bar - Austin|173
311836|30.26735640296|-97.741128162377|Barcelona Nightclub|212
295491|30.26768337275|-97.741067364418|B. D. Riley's Irish Pub - Downtown|136
136120|30.267247578625|-97.74056605278|Darwin's Pub|213
454415497|30.273402|-97.740582|Texas State Capitol|85
1345652|30.26722|-97.74078|The Chuggin' Monkey|147
252857892|30.267455417123|-97.741788819609|Gold's Gym|227
691277900|30.266642908128|-97.740270060851|The Westin Austin Downtown|143
11335625|30.266575|-97.742123|HandleBar Austin|233
263071|30.26778|-97.74073|Parish|35
726219579|30.267842749166|-97.741240113974|Eureka|244
241888454|30.26729|-97.74106|BlindSide Tattoo & Piercing|80
